date,i1,i2,i3,i4
20171Q,96,97.94,103.47,85.93
20164Q,96,97.94,103.47,85.93
20163Q,96,97.94,103.47,85.93
20162Q,91.69,88.7,95.58,91.8
20161Q,77.96,77.94,79.04,76.91
20154Q,83.38,82.04,98.76,69.78
20153Q,79.8,80.06,86,73.24
20152Q,93.88,84.95,102.34,97.33
20151Q,85.47,83.52,94.1,79.46
20144Q,100.71,99.23,105.63,97.77
20143Q,103.77,100.1,112.13,100.3
20142Q,93.87,88.09,109.79,85.66
20141Q,90.39,88.19,98.09,85.63
20134Q,106.86,106.43,115.42,98.88
20133Q,101.71,103.3,107.68,93.62
20132Q,86.7,77.57,105.16,80.41
20131Q,86.11,81.38,98.28,80.24
20124Q,88.58,85.85,103.84,76.98
20123Q,78.17,70.16,97.42,69.6
20122Q,94.54,87.64,118.13,80.14
20121Q,86,83,100.28,75.76
20114Q,89,78,114.33,80.88
20113Q,102,89,114.95,107.87
20112Q,103,96,120.92,96.02
20111Q,102.02,87.47,117.16,106.28
20104Q,113.45,102,139.17,102.14
20103Q,121.92,127,128.54,108.13
20102Q,134.5,129.58,147.98,127.58
20101Q,112,114,115.43,108.18